103120.11859822768, 124093776.07517196
106445.52094286846, 237137370.56616554
137015.55973500045, 331767112.78428614
196929.22473969642, 392418975.8484536
189235.02006537173, 536002316.5391785
168177.49335046168, 177827941.00389227
187923.18417916066, 169498815.13903442
215912.3290103312, 161559809.84398696
171973.18122273995, 71477057.67941846
233860.94696763097, 88698579.90181905
291450.2627330105, 58997462.559235476
256069.88684574424, 294272717.62092817
984612.528363153, 1865663578.5769148
751526.1706352073, 714770576.7941846
600324.6874408546, 510896977.4506935
698690.7521197621, 411702338.0295936
688238.8341568721, 339820832.89425594
813410.3004006206, 348070058.8428406
934829.9727460955, 348070058.8428406
933746.7510876243, 287298483.33536565
736538.3550997407, 254829674.79793465
735684.9011864103, 210337480.10870305
580559.7572739758, 200485668.65527079
335344.30595940835, 71477057.67941846
335344.30595940835, 71477057.67941846
354176.33270676556, 60429639.023813285
374065.9150025883, 51089697.74506924
602067.2653916177, 82540418.52680174
661924.0443572372, 53600231.65391785
418955.2854102099, 7147705.7679418465
351313.52039106743, 1577308.583390967
421207.8682765946, 1736134.3640045184
899086.7786536744, 54901389.14342137
1157630.5782207043, 80584218.77614819
1091164.5086363077, 45315836.376008086
1187193.8865988005, 52329911.46814947
1307116.2066018423, 43193327.940515384
1385732.0279550473, 68129206.90579608
1594199.9809239032, 80584218.77614819
1483840.4655470443, 56234132.51903491
1037346.7909229966, 104913972.9136307
1949132.6199196496, 226030302.7141917
3695932.819287338, 220673406.90845898
4021781.10137859, 261015721.5682533
4822619.311288033, 294272717.62092817
4630838.30846346, 356519536.5775539
6449733.83249476, 231517238.3515267
10231624.95007811, 339820832.89425594
13356490.095314257, 486967525.1658631
14519314.845869306, 486967525.1658631
14561460.435480945, 786743807.659941
15822310.000412084, 732121790.7829138
27571361.17896331, 604296390.2381328
46753453.47783923, 549013891.4342148
67217113.55541399, 681292069.0579622
35561647.52889201, 118281457.30152677
21893729.0035918, 161559809.84398696
20189982.925363053, 242893932.73450753
11090205.076045284, 210337480.10870305
12208693.314693827, 169498815.13903442
15664876.991148109, 139905031.41372898
24414681.179712784, 110069417.1252208
24032034.22030507, 80584218.77614819
15186500.330379803, 82540418.52680174
15177699.203586044, 74989420.93324558
13206355.41061362, 74989420.93324558
13052232.267477874, 107460782.83213174
11038891.846066236, 97630009.89628068
7685991.490376745, 93057204.0929699
7893706.35707018, 76809805.72767742
9856119.072397668, 69783058.48598664
9978284.70429217, 53600231.65391785
11796475.386033438, 57599228.5351362
11613274.267675193, 43193327.940515384
10963955.66964357, 31622776.60168373
19102607.33213662, 25482967.479793414
14450041.141076447, 22067340.690845855
11728288.55437379, 22067340.690845855
10935391.612617945, 20535250.26457146
10036297.22813393, 13990503.141372899
8366043.935027843, 11547819.84689458
9010434.210871246, 24879023.672388345
7951114.287857953, 25482967.479793414
7438328.038129468, 41170233.80295936
6382782.865231582, 41170233.80295936
6380008.373880633, 38311868.49557285
4830313.597599593, 38311868.49557285
4964449.504741536, 35651953.657755464
3936436.250521191, 74989420.93324558
2744379.134708821, 88698579.90181905
2978122.777308625, 66514551.44438625
3327783.6649762737, 63399135.1172484
3563387.410454243, 52329911.46814947
4576131.432019916, 49878876.96449099
4444106.8425337, 39241897.58484536
3917654.9563864963, 33982083.2894256
4821920.438761019, 28729848.33353657
4816333.103302201, 23713737.056616552
5928888.912413328, 20535250.26457146
6618281.212706921, 16548170.999431815
9904804.809036044, 15773085.833909703
5676637.187997069, 15399265.260594888
4545066.91964811, 16155980.984398697
4066912.737470617, 16548170.999431815
3546385.985100854, 23713737.056616552
3550500.079317391, 28729848.33353657
3216821.6937695355, 23151723.83515267
3609124.0761043555, 43193327.940515384
2879237.1820357568, 24879023.672388345
2309977.5241982876, 36517412.72548377
1954223.899434656, 34807005.88428406
1799016.9148774128, 39241897.58484536
1656376.704111144, 45315836.376008086
1071730.5218953888, 23151723.83515267
1320252.807545426, 22603030.27141917
1473981.1975811566, 18656635.78576907
1211527.6586285876, 15034304.197873332
1390157.3096728944, 11547819.84689458
1645371.0318994317, 15034304.197873332
1894820.0686400419, 21033748.010870304
2120361.300140769, 25482967.479793414
2082295.190711192, 12710617.996147431
1994857.5243532665, 10491397.29136307
1807903.4211262055, 8869857.990181904
2136091.4360943167, 8659643.233600635
2327451.633115294, 12710617.996147431
2993701.253668225, 15773085.833909703
2985469.152114584, 9999999.99999998
2704500.7721300074, 7867438.076599378
3378810.5918131093, 7867438.076599378
3428631.7770218453, 8869857.990181904
3573213.057795824, 8254041.852680173
491078.08530615515, 1865663.5785769073
